group,bg_reading,bead_size,bead_number,scf_bead,raw_bead,mean_control
12.0,0.21183333,1.5,6_10,0.9475414192127086,122.7,0.611921
12.0,0.21183333,1.5,7_1,0.9384783315662522,118.2,0.611921
13.0,0.20583333,1.5,7_2,1.0152837729615625,109.7,0.611921
13.0,0.20583333,1.5,7_3,0.9919555998620154,112.4,0.611921
13.0,0.20583333,1.5,7_4,1.1682613310895698,96.86,0.611921
13.0,0.20583333,1.5,7_5,0.9946982213328236,113.6,0.611921
13.0,0.20583333,1.5,7_6,1.1209409340516676,111.8,0.611921
14.0,0.20986667,1.5,7_7,1.012426621,114.2,0.611921
14.0,0.20986667,1.5,7_8,0.9865154804770312,112.9,0.611921
14.0,0.20986667,1.5,7_9,0.9802436110675498,117.7,0.611921
14.0,0.20986667,1.5,7_10,0.9775800133690244,115.8,0.611921
14.0,0.20986667,1.5,8_1,0.9679361125742644,116.6,0.611921
