group,bg_reading,bead_size,bead_number,scf_bead,raw_bead,mean_control
13,0.20583333,1.5,7_3,0.9919555998620154,112.4000,0.611921
13,0.20583333,1.5,7_4,1.1682613310895698,96.8600,0.611921
13,0.20583333,1.5,7_5,0.9946982213328237,113.6000,0.611921
13,0.20583333,1.5,7_6,1.1209409340516676,111.8000,0.611921
14,0.20986667,1.5,7_7,1.012426621,114.2000,0.611921
14,0.20986667,1.5,7_8,0.9865154804770311,112.9000,0.611921
14,0.20986667,1.5,7_9,0.9802436110675498,117.7000,0.611921
14,0.20986667,1.5,7_10,0.9775800133690243,115.8000,0.611921
14,0.20986667,1.5,8_1,0.9679361125742645,116.6000,0.611921
15,,1.5,,,,0.611921
15,,1.5,,,,0.611921
15,,1.5,,,,0.611921
15,,1.5,,,,0.611921
15,,1.5,,,,0.611921
