group,bead_size,bead_number,bead_id,experiment,e_factor,beam_energy,dose_level,exp_variable,SCF_bead,raw_bead
3,1.5,6,1_6,linearity,0.995,6,25,25,114.6,3.5110
3,1.5,7,1_7,linearity,0.995,6,25,25,114.5,3.8540
3,1.5,8,1_8,linearity,0.995,6,25,25,117.2,3.9090
3,1.5,9,1_9,linearity,0.995,6,25,25,113.5,3.7230
3,1.5,10,1_10,linearity,0.995,6,25,25,102,3.6320
3,1.5,11,2_1,linearity,0.995,6,50,50,115,6.9740
3,1.5,12,2_2,linearity,0.995,6,50,50,111.5,6.4610
3,1.5,13,2_3,linearity,0.995,6,50,50,109.1,7.0050
3,1.5,14,2_4,linearity,0.995,6,50,50,112.5,7.4050
3,1.5,15,2_5,linearity,0.995,6,50,50,98.54,6.4060
3,1.5,16,2_6,linearity,0.995,6,100,100,111,13.5800
3,1.5,17,2_7,linearity,0.995,6,100,100,106.1,13.9300
3,1.5,18,2_8,linearity,0.995,6,100,100,111.7,13.1500
3,1.5,19,2_9,linearity,0.995,6,100,100,110.3,12.5500
3,1.5,20,2_10,linearity,0.995,6,100,100,100.4,11.8800
3,1.5,21,3_1,linearity,0.995,6,250,250,115.9,30.8600
3,1.5,22,3_2,linearity,0.995,6,250,250,115.6,38.3100
3,1.5,23,3_3,linearity,0.995,6,250,250,111,35.5100
3,1.5,24,3_4,linearity,0.995,6,250,250,109.8,31.6900
3,1.5,25,3_5,linearity,0.995,6,250,250,112.8,31.0500
3,1.5,26,3_6,linearity,0.995,6,500,500,117.9,66.6000
3,1.5,27,3_7,linearity,0.995,6,500,500,111.3,62.4100
3,1.5,28,3_8,linearity,0.995,6,500,500,126.6,63.2800
3,1.5,29,3_9,linearity,0.995,6,500,500,130.6,64.0700
3,1.5,30,3_10,linearity,0.995,6,500,500,105.2,62.5000
3,1.5,31,4_1,linearity,0.995,6,1000,1000,112.8,130.4000
3,1.5,32,4_2,linearity,0.995,6,1000,1000,106.9,130.5000
3,1.5,33,4_3,linearity,0.995,6,1000,1000,111.1,135.7000
3,1.5,34,4_4,linearity,0.995,6,1000,1000,113.4,126.0000
3,1.5,35,4_5,linearity,0.995,6,1000,1000,109.9,120.9000
3,1.5,36,4_6,linearity,0.995,6,2000,2000,110.3,268.0000
3,1.5,37,4_7,linearity,0.995,6,2000,2000,111,254.7000
3,1.5,38,4_8,linearity,0.995,6,2000,2000,108.9,254.1000
3,1.5,39,4_9,linearity,0.995,6,2000,2000,107.4,244.3000
3,1.5,40,4_10,linearity,0.995,6,2000,2000,109.8,258.8000
3,1.5,41,5_1,linearity,0.995,6,3000,3000,105.500,382.3000
3,1.5,42,5_2,linearity,0.995,6,3000,3000,118.5,384.6000
3,1.5,43,5_3,linearity,0.995,6,3000,3000,117.9,373.8000
3,1.5,44,5_4,linearity,0.995,6,3000,3000,108.7,419.1000
3,1.5,45,5_5,linearity,0.995,6,3000,3000,107.7,383.1000
3,1.5,46,5_6,linearity,0.995,6,5000,5000,104.9,597.0000
3,1.5,47,5_7,linearity,0.995,6,5000,5000,113.2,772.4000
3,1.5,48,5_8,linearity,0.995,6,5000,5000,110.6,656.7000
3,1.5,49,5_9,linearity,0.995,6,5000,5000,118.4,709.6000
3,1.5,50,5_10,linearity,0.995,6,5000,5000,110.2,626.1000
3,1.5,51,6_1,linearity,0.995,6,0,0,96.88,0.6247
3,1.5,52,6_2,linearity,0.995,6,0,0,104.3,0.7103
3,1.5,53,6_3,linearity,0.995,6,0,0,110,0.7295
3,1.5,54,6_4,linearity,0.995,6,0,0,104.4,0.6757
3,1.5,55,6_5,linearity,0.995,6,0,0,107,1.2020
3,1.5,56,6_6,linearity,0.995,10,10,10,111.3,2.0880
3,1.5,57,6_7,linearity,0.995,10,10,10,115.5,2.0060
3,1.5,58,6_8,linearity,0.995,10,10,10,109.4,1.7440
3,1.5,59,6_9,linearity,0.995,10,10,10,116.1,1.7980
3,1.5,60,6_10,linearity,0.995,10,10,10,114.1,1.9710
3,1.5,61,7_1,linearity,0.995,10,25,25,115.2,3.6170
3,1.5,62,7_2,linearity,0.995,10,25,25,106.5,3.4060
3,1.5,63,7_3,linearity,0.995,10,25,25,109,3.4550
3,1.5,64,7_4,linearity,0.995,10,25,25,92.58,3.0330
3,1.5,65,7_5,linearity,0.995,10,25,25,108.7,3.6130
3,1.5,66,7_6,linearity,0.995,10,50,50,96.48,6.8060
3,1.5,67,7_7,linearity,0.995,10,50,50,106.8,7.6400
3,1.5,68,7_8,linearity,0.995,10,50,50,109.6,6.7950
3,1.5,69,7_9,linearity,0.995,10,50,50,110.3,7.0110
3,1.5,70,7_10,linearity,0.995,10,50,50,110.6,6.9790
3,1.5,71,8_1,linearity,0.995,10,100,100,111.7,12.9700
3,1.5,72,8_2,linearity,0.995,10,100,100,107.7,12.7700
3,1.5,73,8_3,linearity,0.995,10,100,100,110.5,13.6200
3,1.5,74,8_4,linearity,0.995,10,100,100,107.4,13.0400
3,1.5,75,8_5,linearity,0.995,10,100,100,110.3,13.3500
3,1.5,76,8_6,linearity,0.995,10,250,250,107.00,35.6900
3,1.5,77,8_7,linearity,0.995,10,250,250,104.90,32.6200
3,1.5,78,8_8,linearity,0.995,10,250,250,105.70,31.7000
3,1.5,79,8_9,linearity,0.995,10,250,250,103.10,32.2000
3,1.5,80,8_10,linearity,0.995,10,250,250,108.00,31.7400
3,1.5,81,9_1,linearity,0.995,10,500,500,106.4,62.6300
3,1.5,82,9_2,linearity,0.995,10,500,500,114.5,65.6500
3,1.5,83,9_3,linearity,0.995,10,500,500,103.7,62.9400
3,1.5,84,9_4,linearity,0.995,10,500,500,112.8,65.8600
3,1.5,85,9_5,linearity,0.995,10,500,500,112.5,64.4700
3,1.5,86,9_6,linearity,0.995,10,1000,1000,111.9,125.9000
3,1.5,87,9_7,linearity,0.995,10,1000,1000,105.5,120.8000
3,1.5,88,9_8,linearity,0.995,10,1000,1000,107.2,124.7000
3,1.5,89,9_9,linearity,0.995,10,1000,1000,116.3,130.9000
3,1.5,90,9_10,linearity,0.995,10,1000,1000,107.9,126.7000
3,1.5,91,10_1,linearity,0.995,10,2000,2000,111.50,268.2000
3,1.5,92,10_2,linearity,0.995,10,2000,2000,109.80,258.2000
3,1.5,93,10_3,linearity,0.995,10,2000,2000,108.80,257.5000
