group,bead_size,bead_number,bead_id,experiment,e_factor,beam_energy,dose_level,exp_variable,scf_count,raw_bead,scf_bead,calibrated_count
1,1.0,105,11_5,linearity,0.995,10.0,5000.0,5000.0,37.25,246.7,1.071449826415914,264.32667217680597
1,1.0,106,11_6,linearity,0.995,10.0,5000.0,5000.0,39.41,250.8,1.0124325345391483,253.9180796624184
1,1.0,107,11_7,linearity,0.995,10.0,5000.0,5000.0,37.34,269.2,1.0688537335646477,287.7354250756032
1,1.0,108,11_8,linearity,0.995,10.0,5000.0,5000.0,45.48,255.9,0.8767245106401668,224.35380227281868
1,1.0,110,11_10,linearity,0.995,10.0,0.0,0.0,38.82,0.5604,1.027897736959499,0.5760338917921033
1,1.0,111,12_1,linearity,0.995,10.0,0.0,0.0,39.91,0.5331,0.9996861398432715,0.532932681150448
1,1.0,112,12_2,linearity,0.995,10.0,0.0,0.0,37.54,0.5327,1.0631294384871193,0.5663290518820884
1,1.0,113,12_3,linearity,0.995,10.0,0.0,0.0,37.18,0.6763,1.0734777450155004,0.725992998953983
1,1.0,114,12_4,linearity,0.995,10.0,0.0,0.0,38.98,0.6064,1.0236572857673505,0.6207457780893214
1,1.0,115,12_5,dose_rate,0.995,6.0,200.0,600.0,37.63,9.494,1.0605734611223063,10.069084439895176
1,1.0,116,12_6,dose_rate,0.995,6.0,200.0,600.0,36.8,9.313,1.0846217823489923,10.101082659016166
1,1.0,117,12_7,dose_rate,0.995,6.0,200.0,600.0,37.69,9.969,1.058876293157949,10.555937766491592
1,1.0,118,12_8,dose_rate,0.995,6.0,200.0,600.0,37.88,9.885,1.0535375816543582,10.41421899465333
1,1.0,119,12_9,dose_rate,0.995,6.0,200.0,600.0,38.52,10.01,1.03594401517049,10.369799591856605
1,1.0,120,12_10,dose_rate,0.995,6.0,200.0,500.0,39.33,10.47,1.0145021833592796,10.621837859771658
1,1.0,122,13_2,dose_rate,0.995,6.0,200.0,500.0,45.33,10.01,0.8796382190831459,8.80517857302229
1,1.0,123,13_3,dose_rate,0.995,6.0,200.0,500.0,37.97,9.649,1.0510274632935726,10.14136399331968
1,1.0,124,13_4,dose_rate,0.995,6.0,200.0,500.0,40.04,9.474,0.996424477458207,9.440125499439052
1,1.0,125,13_5,dose_rate,0.995,6.0,200.0,500.0,38.52,9.538,1.03594401517049,9.880834016696133
1,1.0,126,13_6,dose_rate,0.995,6.0,200.0,400.0,37.6,9.808,1.0614240869076494,10.410447444390226
1,1.0,127,13_7,dose_rate,0.995,6.0,200.0,400.0,40.63,10.29,0.9818851378757959,10.103598068741938
1,1.0,128,13_8,dose_rate,0.995,6.0,200.0,400.0,39.82,9.785,1.0019567509114977,9.804146807669005
1,1.0,129,13_9,dose_rate,0.995,6.0,200.0,400.0,39.92,10.24,0.9994344848246574,10.234209124604492
1,1.0,130,13_10,dose_rate,0.995,6.0,200.0,400.0,39.19,10.01,1.0181445028423077,10.1916264734515
1,1.0,131,14_1,dose_rate,0.995,6.0,200.0,300.0,43.92,9.624,0.9080042572183296,8.738632971469205
1,1.0,132,14_2,dose_rate,0.995,6.0,200.0,300.0,37.79,9.21,1.0560597183078613,9.726310005615403
1,1.0,133,14_3,dose_rate,0.995,6.0,200.0,300.0,37.69,9.887,1.058876293157949,10.469109910452643
1,1.0,134,14_4,dose_rate,0.995,6.0,200.0,300.0,44.25,10.11,0.9012026448608528,9.111158739543221
1,1.0,135,14_5,dose_rate,0.995,6.0,200.0,300.0,38.38,9.74,1.0397422130971479,10.127089155566221
1,1.0,136,14_6,dose_rate,0.995,6.0,200.0,200.0,39.69,9.431,1.0052547920957944,9.480557944255436
1,1.0,137,14_7,dose_rate,0.995,6.0,200.0,200.0,39.5,10.26,1.0101142502362144,10.36377220742356
1,1.0,138,14_8,dose_rate,0.995,6.0,200.0,200.0,37.63,9.92,1.0605734611223063,10.520888734333278
1,1.0,139,14_9,dose_rate,0.995,6.0,200.0,200.0,39.27,9.455,1.0160599814866556,9.606847124956328
1,1.0,140,14_10,dose_rate,0.995,6.0,200.0,200.0,40.72,10.39,0.979704488266371,10.179129633087596
1,1.0,141,15_1,dose_rate,0.995,6.0,200.0,100.0,38.27,10.11,1.042746106610404,10.542163137831183
1,1.0,142,15_2,dose_rate,0.995,6.0,200.0,100.0,38.3,9.865,1.0419251429299001,10.278591535003464
1,1.0,143,15_3,dose_rate,0.995,6.0,200.0,100.0,39.8,10.28,1.0024627326025755,10.305316891154476
1,1.0,144,15_4,dose_rate,0.995,6.0,200.0,100.0,39.38,9.967,1.0132076625074462,10.098640772211716
1,1.0,145,15_5,dose_rate,0.995,6.0,200.0,100.0,38.13,10.44,1.046594439478986,10.926445948160612
1,1.0,146,15_6,dose_rate,0.995,6.0,200.0,80.0,39.3,10.15,1.0152804848704653,10.305096921435224
