group,bead_size,bead_number,bead_id,experiment,e_factor,beam_energy,dose_level,exp_variable,scf_count,raw_bead,scf_bead
1,1.0,138,14_8,dose_rate,0.995,6.0,200.0,200.0,37.63,9.9200,1.0605734611223063
1,1.0,139,14_9,dose_rate,0.995,6.0,200.0,200.0,39.27,9.4550,1.0160599814866556
1,1.0,140,14_10,dose_rate,0.995,6.0,200.0,200.0,40.72,10.3900,0.979704488266371
1,1.0,141,15_1,dose_rate,0.995,6.0,200.0,100.0,38.27,10.1100,1.042746106610404
1,1.0,142,15_2,dose_rate,0.995,6.0,200.0,100.0,38.3,9.8650,1.0419251429299001
1,1.0,143,15_3,dose_rate,0.995,6.0,200.0,100.0,39.8,10.2800,1.0024627326025755
1,1.0,144,15_4,dose_rate,0.995,6.0,200.0,100.0,39.38,9.9670,1.0132076625074462
1,1.0,145,15_5,dose_rate,0.995,6.0,200.0,100.0,38.13,10.4400,1.046594439478986
1,1.0,146,15_6,dose_rate,0.995,6.0,200.0,80.0,39.3,10.1500,1.0152804848704653
1,1.0,147,15_7,dose_rate,0.995,6.0,200.0,80.0,38.66,9.5210,1.032173466019745
1,1.0,148,15_8,dose_rate,0.995,6.0,200.0,80.0,39.49,10.4500,1.010371312956725
1,1.0,149,15_9,dose_rate,0.995,6.0,200.0,80.0,39.57,9.8990,1.0083184672452945
1,1.0,150,15_10,dose_rate,0.995,6.0,200.0,80.0,39.3,9.5160,1.0152804848704653
2,1.0,151,16_1,dose_rate,0.995,6.0,200.0,60.0,40.42,9.7170,0.9677792945687612
2,1.0,152,16_2,dose_rate,0.995,6.0,200.0,60.0,36.1,9.8390,1.0843630607398826
2,1.0,153,16_3,dose_rate,0.995,6.0,200.0,60.0,48.04,10.9700,0.8135046273629942
2,1.0,154,16_4,dose_rate,0.995,6.0,200.0,60.0,38.39,9.8250,1.0192745026755348
2,1.0,155,16_5,dose_rate,0.995,6.0,200.0,60.0,38.0,8.9840,1.029801697584302
2,1.0,156,16_6,dose_rate,0.995,6.0,200.0,0.0,37.85,0.5108,1.0339087511468084
2,1.0,157,16_7,dose_rate,0.995,6.0,200.0,0.0,38.02,0.5259,1.0292565544667793
2,1.0,158,16_8,dose_rate,0.995,6.0,200.0,0.0,39.57,0.5849,0.9886944276077012
2,1.0,159,16_9,dose_rate,0.995,6.0,200.0,0.0,39.97,0.8769,0.9787405351096645
2,1.0,160,16_10,dose_rate,0.995,6.0,200.0,0.0,41.15,0.7336,0.9505106025138551
2,1.0,161,17_1,dose_rate,0.995,10.0,200.0,2400.0,40.27,10.3300,0.9714056595125333
2,1.0,162,17_2,dose_rate,0.995,10.0,200.0,2400.0,38.49,9.6840,1.016609800077146
2,1.0,163,17_3,dose_rate,0.995,10.0,200.0,2400.0,38.48,9.9030,1.01687564320003
2,1.0,164,17_4,dose_rate,0.995,10.0,200.0,2400.0,41.72,10.2100,0.9374494063323238
2,1.0,165,17_5,dose_rate,0.995,10.0,200.0,2400.0,38.03,9.5890,1.0289841992863613
2,1.0,169,17_9,dose_rate,0.995,10.0,200.0,2000.0,40.08,9.7820,0.9760382548220695
2,1.0,170,17_10,dose_rate,0.995,10.0,200.0,2000.0,38.64,11.2900,1.0126387680108115
2,1.0,171,18_1,dose_rate,0.995,10.0,200.0,2000.0,39.85,9.5570,0.9817055943873517
