group,bead_size,bead_number,bead_id,experiment,e_factor,beam_energy,dose_level,exp_variable,scf_count,raw_bead,scf_bead,calibrated_count,is_control,mean_control,adjusted_count
1,1.0,130,13_10,dose_rate,0.995,6.0,200.0,400.0,39.19,10.01,1.0181445028423077,10.1916264734515,False,0.6119210270120786,9.568602443625533
1,1.0,131,14_1,dose_rate,0.995,6.0,200.0,300.0,43.92,9.624,0.9080042572183296,8.738632971469205,False,0.6119210270120786,8.183006073860824
1,1.0,132,14_2,dose_rate,0.995,6.0,200.0,300.0,37.79,9.21,1.0560597183078613,9.726310005615403,False,0.6119210270120786,9.08008485820237
1,1.0,133,14_3,dose_rate,0.995,6.0,200.0,300.0,37.69,9.887,1.058876293157949,10.469109910452643,False,0.6119210270120786,9.821161241664687
1,1.0,134,14_4,dose_rate,0.995,6.0,200.0,300.0,44.25,10.11,0.9012026448608528,9.111158739543221,False,0.6119210270120786,8.559693891553966
1,1.0,135,14_5,dose_rate,0.995,6.0,200.0,300.0,38.38,9.74,1.0397422130971479,10.127089155566221,False,0.6119210270120786,9.490849032700002
1,1.0,136,14_6,dose_rate,0.995,6.0,200.0,200.0,39.69,9.431,1.0052547920957944,9.480557944255436,False,0.6119210270120786,8.865421399467364
1,1.0,137,14_7,dose_rate,0.995,6.0,200.0,200.0,39.5,10.26,1.0101142502362144,10.36377220742356,False,0.6119210270120786,9.74566205801948
1,1.0,138,14_8,dose_rate,0.995,6.0,200.0,200.0,37.63,9.92,1.0605734611223063,10.520888734333278,False,0.6119210270120786,9.871901532781562
1,1.0,139,14_9,dose_rate,0.995,6.0,200.0,200.0,39.27,9.455,1.0160599814866556,9.606847124956328,False,0.6119210270120786,8.98509865757914
1,1.0,140,14_10,dose_rate,0.995,6.0,200.0,200.0,40.72,10.39,0.979704488266371,10.179129633087596,False,0.6119210270120786,9.579627856459295
1,1.0,141,15_1,dose_rate,0.995,6.0,200.0,100.0,38.27,10.11,1.042746106610404,10.542163137831183,False,0.6119210270120786,9.904084869361299
1,1.0,142,15_2,dose_rate,0.995,6.0,200.0,100.0,38.3,9.865,1.0419251429299001,10.278591535003464,False,0.6119210270120786,9.641015631472094
1,1.0,143,15_3,dose_rate,0.995,6.0,200.0,100.0,39.8,10.28,1.0024627326025755,10.305316891154476,False,0.6119210270120786,9.691888866278973
1,1.0,144,15_4,dose_rate,0.995,6.0,200.0,100.0,39.38,9.967,1.0132076625074462,10.098640772211716,False,0.6119210270120786,9.478637698793653
1,1.0,145,15_5,dose_rate,0.995,6.0,200.0,100.0,38.13,10.44,1.046594439478986,10.926445948160612,False,0.6119210270120786,10.2860128038895
1,1.0,146,15_6,dose_rate,0.995,6.0,200.0,80.0,39.3,10.15,1.0152804848704653,10.305096921435224,False,0.6119210270120786,9.683825444427967
1,1.0,147,15_7,dose_rate,0.995,6.0,200.0,80.0,38.66,9.521,1.032173466019745,9.827323569973993,False,0.6119210270120786,9.195714922592574
1,1.0,148,15_8,dose_rate,0.995,6.0,200.0,80.0,39.49,10.45,1.010371312956725,10.558380220397776,False,0.6119210270120786,9.940112768909755
1,1.0,149,15_9,dose_rate,0.995,6.0,200.0,80.0,39.57,9.899,1.0083184672452945,9.98134450726117,False,0.6119210270120786,9.364333235229184
1,1.0,150,15_10,dose_rate,0.995,6.0,200.0,80.0,39.3,9.516,1.0152804848704653,9.661409094027348,False,0.6119210270120786,9.040137617020092
2,1.0,151,16_1,dose_rate,0.995,6.0,200.0,60.0,40.42,9.717,0.9677792945687612,9.403911405324653,False,0.6139580306558721,8.809735535521687
2,1.0,152,16_2,dose_rate,0.995,6.0,200.0,60.0,36.1,9.839,1.0843630607398826,10.669048154619706,False,0.6139580306558721,10.003294745331873
2,1.0,153,16_3,dose_rate,0.995,6.0,200.0,60.0,48.04,10.97,0.8135046273629942,8.924145762172047,False,0.6139580306558721,8.424688063226824
2,1.0,154,16_4,dose_rate,0.995,6.0,200.0,60.0,38.39,9.825,1.0192745026755348,10.01437198878713,False,0.6139580306558721,9.388580222426713
2,1.0,155,16_5,dose_rate,0.995,6.0,200.0,60.0,38.0,8.984,1.029801697584302,9.25173845109737,False,0.6139580306558721,8.619483428882438
2,1.0,156,16_6,dose_rate,0.995,6.0,200.0,0.0,37.85,0.5108,1.0339087511468084,0.5281205900857897,True,0.6139580306558721,-0.10665599064617683
2,1.0,157,16_7,dose_rate,0.995,6.0,200.0,0.0,38.02,0.5259,1.0292565544667793,0.5412860219940793,True,0.6139580306558721,-0.09063430522599288
2,1.0,158,16_8,dose_rate,0.995,6.0,200.0,0.0,39.57,0.5849,0.9886944276077012,0.5782873707077444,True,0.6139580306558721,-0.028729512986714494
2,1.0,159,16_9,dose_rate,0.995,6.0,200.0,0.0,39.97,0.8769,0.9787405351096645,0.8582575752376649,True,0.6139580306558721,0.25735196377866076
2,1.0,160,16_10,dose_rate,0.995,6.0,200.0,0.0,41.15,0.7336,0.9505106025138551,0.6972945780041642,True,0.6139580306558721,0.11372096036723126
2,1.0,161,17_1,dose_rate,0.995,10.0,200.0,2400.0,40.27,10.33,0.9714056595125333,10.034620462764469,False,0.6139580306558721,9.438218157082185
2,1.0,162,17_2,dose_rate,0.995,10.0,200.0,2400.0,38.49,9.684,1.016609800077146,9.84484930394708,False,0.6139580306558721,9.220693553146257
2,1.0,163,17_3,dose_rate,0.995,10.0,200.0,2400.0,38.48,9.903,1.01687564320003,10.070119494609898,False,0.6139580306558721,9.445800527288885
2,1.0,164,17_4,dose_rate,0.995,10.0,200.0,2400.0,41.72,10.21,0.9374494063323238,9.571358438653027,False,0.6139580306558721,8.995803847301715
2,1.0,165,17_5,dose_rate,0.995,10.0,200.0,2400.0,38.03,9.589,1.0289841992863613,9.866929486956918,False,0.6139580306558721,9.235176374387054
2,1.0,169,17_9,dose_rate,0.995,10.0,200.0,2000.0,40.08,9.782,0.9760382548220695,9.547606208669484,False,0.6139580306558721,8.94835968389413
2,1.0,170,17_10,dose_rate,0.995,10.0,200.0,2000.0,38.64,11.29,1.0126387680108115,11.432691690842061,False,0.6139580306558721,10.810973987068355
2,1.0,171,18_1,dose_rate,0.995,10.0,200.0,2000.0,39.85,9.557,0.9817055943873517,9.38216036555992,False,0.6139580306558721,8.779434332146009
2,1.0,173,18_3,dose_rate,0.995,10.0,200.0,2000.0,42.92,9.376,0.9110924754693366,8.5424030500005,False,0.6139580306558721,7.983030508015961
2,1.0,174,18_4,dose_rate,0.995,10.0,200.0,2000.0,37.73,9.641,1.0372180563253257,9.999819281032465,False,0.6139580306558721,9.363010925810256
2,1.0,175,18_5,dose_rate,0.995,10.0,200.0,1600.0,38.83,9.976,1.0076531099011317,10.052347424373691,False,0.6139580306558721,9.433690705434525
2,1.0,176,18_6,dose_rate,0.995,10.0,200.0,1600.0,38.72,9.888,1.0105335427927808,9.992155671135016,False,0.6139580306558721,9.37173048729026
2,1.0,177,18_7,dose_rate,0.995,10.0,200.0,1600.0,37.68,10.12,1.0386031942486593,10.510664325796432,False,0.6139580306558721,9.873005554022626
2,1.0,178,18_8,dose_rate,0.995,10.0,200.0,1600.0,43.81,9.631,0.8924820941718279,8.595495048968875,False,0.6139580306558721,8.04754850003551
2,1.0,179,18_9,dose_rate,0.995,10.0,200.0,1600.0,38.15,10.46,1.0257271442763944,10.729105929131087,False,0.6139580306558721,10.099352511640879
2,1.0,180,18_10,dose_rate,0.995,10.0,200.0,1200.0,38.12,9.378,1.0265394734494873,9.626887182009291,False,0.6139580306558721,8.996635028499728
2,1.0,181,19_1,dose_rate,0.995,10.0,200.0,1200.0,40.46,10.41,0.9668168320774051,10.064563221925788,False,0.6139580306558721,9.470978263698594
2,1.0,182,19_2,dose_rate,0.995,10.0,200.0,1200.0,38.59,11.03,1.0139589938825768,11.183967702524821,False,0.6139580306558721,10.561439435474865
2,1.0,183,19_3,dose_rate,0.995,10.0,200.0,1200.0,37.57,10.55,1.0416635583797966,10.989550540906855,False,0.6139580306558721,10.350012833998006
2,1.0,184,19_4,dose_rate,0.995,10.0,200.0,1200.0,39.95,9.989,0.9792334672225114,9.781563104085667,False,0.6139580306558721,9.18035485299741
2,1.0,185,19_5,dose_rate,0.995,10.0,200.0,800.0,41.33,10.58,0.9463468672130917,10.01234985511451,False,0.6139580306558721,9.431332596203006
